County_ID,County,PA_Region,Year,ETANF,Snap_January ,SNAP_July,Medicaid,SSI,WIC,CHIP,LFPR,U_Rate,Med_Income,ED_Attain_HSandAbove,Ed_Attain_BAandAbove,Employ_TR,Pov_Rate,Population
3,Allegheny,West,2016,"1,366","87,879","84,847","233,350","34,427",16516,"12,469",94.8,5.2,"$56,099 ",94.4,41.5,,11.6,"1,227,553"
7,Beaver,West,2016,31,"13,239","12,500","35,742","4,635",2926,"2,045",93.8,6.2,"$54,715 ",92.4,25.7,,8.2,"167,123"
11,Berks,West,2016,100,"29,928","29,803","90,976","10,652",10103,"6,476",95,5,"$59,205 ",86.4,25,,13.6,"415,732"
13,Blair,Central,2016,28,"10,906","10,619","32,519","4,571",3117,"1,827",94.7,5.3,"$44,197 ",91.7,18.3,,12.9,"123,927"
17,Bucks,Southeast,2016,45,"20,399","20,102","76,492","7,068",5067,"7,863",95.4,4.6,"$80,132 ",93.6,40.1,,6.6,"626,751"
19,Butler,West,2016,24,"8,556","8,473","26,552","3,198",2201,"2,002",94.9,5.1,"$66,277 ",-,-,,,"186,207"
21,Cambria,Central,2016,65,"11,973","12,373","33,739","4,961",3108,"1,702",93.2,6.8,"$43,614 ",91.9,22.2,,15.9,"134,313"
29,Chester,Southeast,2016,46,"12,657","12,470","52,636","4,131",5136,"5,455",96.1,3.9,"$92,551 ",93.3,51.1,,7.3,"516,489"
39,Crawford,West,2016,25,"6,664","6,569","19,920","2,984",1780,982,94,6,"$45,388 ",89.5,22.1,,13.7,"86,505"
43,Dauphin,Southeast,2016,140,"21,756","21,950","65,011","7,710",6839,"3,479",95.2,4.8,"$59,958 ",90,32.5,,11.1,"274,121"
45,Delaware,Southeast,2016,251,"34,595","35,240","113,519","12,656",10124,"7,388",95.1,4.9,"$67,773 ",92.9,38.4,,10.9,"563,995"
49,Erie,West,2016,176,"27,631","26,642","76,648","10,745",7105,"3,106",93.5,6.5,"$48,820 ",92.2,28,,15.9,"276,321"
51,Fayette,West,2016,68,"16,376","16,531","42,295","8,047",3039,"1,841",91.9,8.1,"$42,056 ",87.7,16.3,,17.4,"132,392"
55,Franklin,Southeast,2016,0,"7,775","7,871","27,628","2,497",3592,"2,872",94.8,5.2,"$59,474 ",88.1,21.6,,8,"153,564"
59,Greene,West,2016,13,"3,462","3,453","9,700","1,700",912,346,92.3,7.7,"$50,579 ",-,-,,,"37,158"
69,Lackawanna,Northeast,2016,65,"19,246","19,576","52,611","6,725",5231,"2,104",94.3,5.7,"$47,398 ",90.2,27,,14.2,"210,872"
71,Lancaster,Central,2016,70,"25,798","25,800","91,324","9,557",9120,"9,224",95.9,4.1,"$61,347 ",84.8,25,,11,"539,137"
73,Lawrence,West,2016,63,"8,464","8,495","22,022","3,406",2154,991,93.3,6.7,"$46,727 ",90.3,22.9,,12.8,"87,631"
75,Lebanon,Southeast,2016,16,"7,694","7,728","27,305","2,548",3216,"2,220",95.5,4.5,"$56,971 ",88.6,20.6,,9.3,"138,557"
77,Lehigh,Southeast,2016,104,"24,441","24,427","82,697","9,893",9835,"6,105",94.7,5.3,"$60,243 ",89.2,29.4,,14.5,"363,113"
79,Luzerne,Northeast,2016,86,"29,131","29,939","82,649","9,979",8193,"3,636",93.7,6.3,"$46,452 ",89.4,23,,14.8,"316,801"
81,Lycoming,Northeast,2016,53,"8,470","8,463","26,382","3,242",2693,"1,336",93.4,6.6,"$48,962 ",90.8,21.2,,15.1,"114,708"
83,McKean,Northeast,2016,18,"3,671","3,572","11,074","1,585",1038,405,93.4,6.6,"$43,082 ",89.6,17,,-,"41,518"
85,Mercer,West,2016,54,"10,060","9,781","27,725","3,824",2244,"1,121",94,6,"$49,187 ",90.3,22.1,,16.8,"112,673"
91,Montgomery,Southeast,2016,99,"28,314","27,026","104,622","8,424",8317,"8,800",95.9,4.1,"$84,156 ",94.3,48,,6.2,"820,656"
95,Northampton,Southeast,2016,47,"16,378","16,370","53,923","6,456",4630,"3,761",94.8,5.2,"$65,730 ",90.8,28.9,,8.5,"301,760"
101,Philadelphia,Southeast,2016,"7,192","264,275","264,626","636,009","108,140",59362,"21,603",93.2,6.8,"$41,514 ",83.2,28.6,,25.7,"1,574,765"
107,Schuylkill,Northeast,2016,19,"11,804","12,001","33,452","3,823",2573,"1,788",93.8,6.2,"$50,299 ",88.5,15.7,,12.7,"143,335"
125,Washington,West,2016,34,"13,594","13,219","37,980","4,920",3132,"2,289",93.9,6.1,"$58,068 ",92.4,29.4,,9.3,"207,341"
129,Westmoreland,West,2016,74,"22,858","22,425","67,231","8,252",4288,"4,463",94.1,5.9,"$56,544 ",94.1,28.1,,9.6,"354,788"
133,York,Southeast,2016,112,"25,019","25,210","83,285","8,315",7185,"6,553",95.4,4.6,"$62,305 ",89.7,24.2,,9.9,"443,809"
3,Allegheny,West,2017,"1,248","84,585","84,390","238,054","33,780",15509,"13,493",95.2,4.8,"$58,625 ",94.5,41.4,,11.2,"1,223,048"
